"","SOC6","OCC_TITLE","TOT_EMP","A_MEDIAN","BA_Plus","Sub_BA","is_middle_edu","dominant_requirement","Analytical","Fundamental","Managerial","Mechanical","Social","Total_Skill_Sum","Rel_Social","Rel_Analytical","Rel_Fundamental","Rel_Managerial","Rel_Mechanical","is_imputed","is_middle_wage","is_middle_wage_occ","SOC"
"49","131199","Business Operations Specialists, All Other",47430,73610,49.9816666666667,50.0133333333333,TRUE,"Sub-Baccalaureate",2.551875,3.499375,2.72416666666667,1.645625,3.15214285714286,13.5731845238095,0.23,0.19,0.26,0.2,0.12,FALSE,TRUE,TRUE,"131199"
"50","132011","Accountants and Auditors",109460,83080,93.735,6.265,FALSE,"Bachelor's or Higher",2.656875,3.5225,2.625,1.19375,2.95428571428571,12.9524107142857,0.23,0.21,0.27,0.2,0.09,FALSE,TRUE,FALSE,"132011"
"51","132021","Appraisers and Assessors of Real Estate",3050,59360,39.17,60.83,TRUE,"Sub-Baccalaureate",2.186875,3.49375,2.32875,1.491875,2.75,12.25125,0.22,0.18,0.29,0.19,0.12,FALSE,TRUE,TRUE,"132021"
"52","132031","Budget Analysts",3430,76270,80.3,19.71,FALSE,"Bachelor's or Higher",2.5625,3.5475,2.75,1.0775,2.68,12.6175,0.21,0.2,0.28,0.22,0.09,FALSE,TRUE,FALSE,"132031"
"53","132041","Credit Analysts",7940,95410,53.33,46.68,FALSE,"Bachelor's or Higher",2.4225,3.39,2.2825,1.235,2.69571428571429,12.0257142857143,0.22,0.2,0.28,0.19,0.1,FALSE,FALSE,FALSE,"132041"
"54","132051","Financial Analysts",45680,99790,100,0,FALSE,"Bachelor's or Higher",2.5775,3.54875,2.31,1.0475,2.85714285714286,12.3408928571429,0.23,0.21,0.29,0.19,0.08,FALSE,FALSE,FALSE,"132051"
"55","132052","Personal Financial Advisors",28830,125120,92.85,7.14,FALSE,"Bachelor's or Higher",2.64,3.68625,2.5925,1.17125,3.23142857142857,13.3214285714286,0.24,0.2,0.28,0.19,0.09,FALSE,FALSE,FALSE,"132052"
"56","132053","Insurance Underwriters",7690,84690,84.62,15.39,FALSE,"Bachelor's or Higher",2.3625,3.57875,2.2825,1.10875,2.83857142857143,12.1710714285714,0.23,0.19,0.29,0.19,0.09,FALSE,FALSE,FALSE,"132053"
"57","132061","Financial Examiners",4810,101510,96,4,FALSE,"Bachelor's or Higher",2.78125,3.9375,2.6875,1.28125,3.42714285714286,14.1146428571429,0.24,0.2,0.28,0.19,0.09,FALSE,FALSE,FALSE,"132061"
"58","132071","Credit Counselors",1600,51660,50.095,49.9,FALSE,"Bachelor's or Higher",2.40625,3.780625,2.3575,1.28875,3.44642857142857,13.2795535714286,0.26,0.18,0.28,0.18,0.1,FALSE,TRUE,FALSE,"132071"
"59","132072","Loan Officers",12740,82740,33.96,66.03,TRUE,"Sub-Baccalaureate",2.09125,3.57875,2.3125,1.15625,3.05571428571429,12.1944642857143,0.25,0.17,0.29,0.19,0.09,FALSE,TRUE,TRUE,"132072"
"60","132081","Tax Examiners and Collectors, and Revenue Agents",3860,67240,49.18,50.82,TRUE,"Sub-Baccalaureate",2.11,3.53375,2.2525,1.18625,2.98285714285714,12.0653571428571,0.25,0.17,0.29,0.19,0.1,FALSE,TRUE,TRUE,"132081"
"61","132082","Tax Preparers",3480,51170,30,70,TRUE,"Sub-Baccalaureate",2.1075,3.29625,2.19,1.15625,2.83857142857143,11.5885714285714,0.24,0.18,0.28,0.19,0.1,FALSE,TRUE,TRUE,"132082"
"62","132099","Financial Specialists, All Other",9890,74350,91.09,8.9,FALSE,"Bachelor's or Higher",2.461875,3.66375,2.61125,1.313125,3.06285714285714,13.1128571428571,0.23,0.19,0.28,0.2,0.1,FALSE,TRUE,FALSE,"132099"
"63","151111","Computer and Information Research Scientists",1290,131380,100.01,0,FALSE,"Bachelor's or Higher",3.40625,3.4075,2.845,1.655,2.82,14.13375,0.2,0.24,0.24,0.2,0.12,FALSE,FALSE,FALSE,"151111"
"64","151121","Computer Systems Analysts",38150,96600,68.86,31.14,FALSE,"Bachelor's or Higher",3.14,3.618125,2.545,2.10125,3.12571428571429,14.5300892857143,0.22,0.22,0.25,0.18,0.14,FALSE,FALSE,FALSE,"151121"
"65","151122","Information Security Analysts",5430,114140,87.95,12.04,FALSE,"Bachelor's or Higher",2.81375,3.47,2.5325,1.81125,3.01857142857143,13.6460714285714,0.22,0.21,0.25,0.19,0.13,FALSE,FALSE,FALSE,"151122"
"66","151131","Computer Programmers",25020,85020,77.84,22.16,FALSE,"Bachelor's or Higher",3.2475,3.24875,2.2175,1.63875,2.57285714285714,12.9253571428571,0.2,0.25,0.25,0.17,0.13,FALSE,FALSE,FALSE,"151131"
"67","151132","Software Developers, Applications",69430,103420,92.3,7.7,FALSE,"Bachelor's or Higher",3.50125,3.20375,2.6225,2.26625,2.83714285714286,14.4308928571429,0.2,0.24,0.22,0.18,0.16,FALSE,FALSE,FALSE,"151132"
"68","151133","Software Developers, Systems Software",20380,112560,95.22,4.79,FALSE,"Bachelor's or Higher",2.49875,3.235,2.1575,1.31125,2.82142857142857,12.0239285714286,0.23,0.21,0.27,0.18,0.11,FALSE,FALSE,FALSE,"151133"
"69","151134","Web Developers",9990,75190,43.33,56.66,TRUE,"Sub-Baccalaureate",3.06,3.3125,2.405,1.78125,2.87428571428571,13.4330357142857,0.21,0.23,0.25,0.18,0.13,FALSE,TRUE,TRUE,"151134"
"70","151141","Database Administrators",7440,94870,64.65,35.35,FALSE,"Bachelor's or Higher",2.93625,3.2675,2.625,1.93875,2.92857142857143,13.6960714285714,0.21,0.21,0.24,0.19,0.14,FALSE,FALSE,FALSE,"151141"
"71","151142","Network and Computer Systems Administrators",25690,91090,68.22,31.78,FALSE,"Bachelor's or Higher",3.155,3.38875,2.7175,3.06375,2.92857142857143,15.2535714285714,0.19,0.21,0.22,0.18,0.2,FALSE,FALSE,FALSE,"151142"
"72","151143","Computer Network Architects",10840,115000,47.83,52.18,TRUE,"Sub-Baccalaureate",2.935,3.41875,2.75,2.55625,3.00142857142857,14.6614285714286,0.2,0.2,0.23,0.19,0.17,FALSE,FALSE,FALSE,"151143"
"73","151151","Computer User Support Specialists",36730,55810,33.3,66.7,TRUE,"Sub-Baccalaureate",2.515,3.5625,2.4075,2.4375,3.03285714285714,13.9553571428571,0.22,0.18,0.26,0.17,0.17,FALSE,TRUE,TRUE,"151151"
"74","151152","Computer Network Support Specialists",11350,79670,50.3,49.7,FALSE,"Bachelor's or Higher",2.4525,3.26625,2.1875,2.71875,2.64285714285714,13.2678571428571,0.2,0.18,0.25,0.16,0.2,FALSE,TRUE,FALSE,"151152"
"75","151199","Computer Occupations, All Other",9360,85840,79.29,20.7136363636364,FALSE,"Bachelor's or Higher",2.89806818181818,3.51204545454545,2.50977272727273,1.63193181818182,3.0051948051948,13.557012987013,0.22,0.21,0.26,0.19,0.12,FALSE,FALSE,FALSE,"151199"
"76","152011","Actuaries",2570,111130,100,0,FALSE,"Bachelor's or Higher",3.235,3.75125,2.845,1.26375,3,14.095,0.21,0.23,0.27,0.2,0.09,FALSE,FALSE,FALSE,"152011"
"77","152021","Mathematicians",50,93500,99.99,0,FALSE,"Bachelor's or Higher",3.155,3.5325,2.1225,1.11,2.60714285714286,12.5271428571429,0.21,0.25,0.28,0.17,0.09,FALSE,FALSE,FALSE,"152021"
"78","152031","Operations Research Analysts",5660,93510,100,0,FALSE,"Bachelor's or Higher",3.47,3.8275,2.375,1.3425,2.78714285714286,13.8021428571429,0.2,0.25,0.28,0.17,0.1,FALSE,FALSE,FALSE,"152031"
"79","152041","Statisticians",1360,84200,96.97,3.03333333333333,FALSE,"Bachelor's or Higher",3.13041666666667,3.63041666666667,2.39666666666667,1.34875,2.83380952380952,13.3400595238095,0.21,0.23,0.27,0.18,0.1,FALSE,FALSE,FALSE,"152041"
"80","171011","Architects, Except Landscape and Naval",12350,77680,100,0,FALSE,"Bachelor's or Higher",3.03375,3.735,3.0325,1.7025,3.26714285714286,14.7708928571429,0.22,0.21,0.25,0.21,0.12,FALSE,TRUE,FALSE,"171011"
"81","171012","Landscape Architects",1330,63860,96.42,3.57,FALSE,"Bachelor's or Higher",2.8275,3.655,2.9675,1.61,3.32,14.38,0.23,0.2,0.25,0.21,0.11,FALSE,TRUE,FALSE,"171012"
"82","171021","Cartographers and Photogrammetrists",190,69450,59.9,40.09,FALSE,"Bachelor's or Higher",2.36125,3.3275,2.28,1.48375,2.85571428571429,12.3082142857143,0.23,0.19,0.27,0.19,0.12,FALSE,TRUE,FALSE,"171021"
"83","171022","Surveyors",2030,74370,75,25,FALSE,"Bachelor's or Higher",2.82,3.46125,2.72,2.319375,2.90214285714286,14.2227678571429,0.2,0.2,0.24,0.19,0.16,FALSE,TRUE,FALSE,"171022"
"84","172031","Biomedical Engineers",870,101480,100,0,FALSE,"Bachelor's or Higher",3.655,3.75,2.6575,2.6725,3.07,15.805,0.19,0.23,0.24,0.17,0.17,FALSE,FALSE,FALSE,"172031"
"85","172041","Chemical Engineers",1300,94100,100,0,FALSE,"Bachelor's or Higher",3.48375,3.5325,2.75,1.9675,2.89428571428571,14.6280357142857,0.2,0.24,0.24,0.19,0.13,FALSE,FALSE,FALSE,"172041"
"86","172051","Civil Engineers",14960,88400,100.01,0,FALSE,"Bachelor's or Higher",3.211875,3.579375,3.15625,1.71125,3.10571428571429,14.7644642857143,0.21,0.22,0.24,0.21,0.12,FALSE,FALSE,FALSE,"172051"
"87","172061","Computer Hardware Engineers",1480,105080,100,0,FALSE,"Bachelor's or Higher",3.0325,3.60875,2.345,2.24875,2.76714285714286,14.0021428571429,0.2,0.22,0.26,0.17,0.16,FALSE,FALSE,FALSE,"172061"
"88","172071","Electrical Engineers",9510,99360,95.17,4.85,FALSE,"Bachelor's or Higher",3.015,3.59625,2.655,2.125,3.07142857142857,14.4626785714286,0.21,0.21,0.25,0.18,0.15,FALSE,FALSE,FALSE,"172071"
"89","172072","Electronics Engineers, Except Computer",5440,103600,76.14,23.86,FALSE,"Bachelor's or Higher",2.991875,3.515625,2.5325,2.5875,2.99928571428571,14.6267857142857,0.21,0.2,0.24,0.17,0.18,FALSE,FALSE,FALSE,"172072"
"90","172081","Environmental Engineers",2740,92140,100,0,FALSE,"Bachelor's or Higher",3.140625,3.759375,2.87625,1.7575,3.26928571428571,14.8030357142857,0.22,0.21,0.25,0.19,0.12,FALSE,FALSE,FALSE,"172081"
"91","172111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1200,94120,97.3333333333333,2.66666666666667,FALSE,"Bachelor's or Higher",3.0525,3.74458333333333,2.51,1.96333333333333,3.07142857142857,14.3418452380952,0.21,0.21,0.26,0.18,0.14,FALSE,FALSE,FALSE,"172111"
"92","172112","Industrial Engineers",5870,86150,84.595,15.4,FALSE,"Bachelor's or Higher",2.921875,3.6175,2.7025,1.6325,3.06214285714286,13.9365178571429,0.22,0.21,0.26,0.19,0.12,FALSE,FALSE,FALSE,"172112"
"93","172121","Marine Engineers and Naval Architects",190,94830,83.05,16.95,FALSE,"Bachelor's or Higher",3.203125,3.641875,2.815,1.991875,3.06428571428571,14.7161607142857,0.21,0.22,0.25,0.19,0.14,FALSE,FALSE,FALSE,"172121"
"94","172131","Materials Engineers",790,91260,97.43,2.56,FALSE,"Bachelor's or Higher",3.075,3.59375,2.72,1.8275,2.91142857142857,14.1276785714286,0.21,0.22,0.25,0.19,0.13,FALSE,FALSE,FALSE,"172131"
"95","172141","Mechanical Engineers",9040,88240,95.9866666666667,4.01666666666667,FALSE,"Bachelor's or Higher",3.35958333333333,3.58416666666667,2.675,2.30291666666667,2.97666666666667,14.8983333333333,0.2,0.23,0.24,0.18,0.15,FALSE,FALSE,FALSE,"172141"
"96","172161","Nuclear Engineers",260,108340,100.02,0,FALSE,"Bachelor's or Higher",3.32875,3.765,2.8125,2.4225,3.19571428571429,15.5244642857143,0.21,0.21,0.24,0.18,0.16,FALSE,FALSE,FALSE,"172161"
